year_added,titles_added,movies_added,shows_added,pct_tv,avg_years_since_release,median_years_since_release,cumulative_titles
2008,2,1.0,1.0,50.0,1.5,1.5,2.0
2009,2,2.0,0.0,0.0,1.0,1.0,4.0
2010,1,1.0,0.0,0.0,23.0,23.0,5.0
2011,13,13.0,0.0,0.0,19.9,22.0,18.0
2012,3,3.0,0.0,0.0,1.0,1.0,21.0
2013,11,6.0,5.0,45.5,0.5,0.0,32.0
2014,25,19.0,6.0,24.0,3.6,0.0,57.0
2015,88,58.0,30.0,34.1,1.3,0.0,145.0
2016,443,258.0,185.0,41.8,3.0,1.0,588.0
2017,1225,864.0,361.0,29.5,4.0,1.0,1813.0
2018,1685,1255.0,430.0,25.5,4.1,1.0,3498.0
2019,2153,1497.0,656.0,30.5,5.3,1.0,5651.0
2020,2009,1312.0,697.0,34.7,4.6,1.0,7660.0
2021,117,88.0,29.0,24.8,9.6,7.0,7777.0
