country,titles,primary_titles,co_produced_titles,movies,tv_shows,pct_tv,avg_release_year,pct_of_all_credits
United States,3297,2883.0,741.0,2431.0,866.0,26.3,2013.0,36.38
India,990,956.0,67.0,915.0,75.0,7.6,2012.0,10.92
United Kingdom,723,577.0,325.0,467.0,256.0,35.4,2014.0,7.98
Canada,412,259.0,235.0,286.0,126.0,30.6,2015.0,4.55
France,349,196.0,234.0,265.0,84.0,24.1,2014.0,3.85
Japan,287,237.0,61.0,103.0,184.0,64.1,2014.0,3.17
Spain,215,168.0,81.0,158.0,57.0,26.5,2017.0,2.37
South Korea,212,194.0,29.0,55.0,157.0,74.1,2017.0,2.34
Germany,199,92.0,138.0,157.0,42.0,21.1,2014.0,2.2
Mexico,154,123.0,54.0,101.0,53.0,34.4,2016.0,1.7
China,147,86.0,90.0,102.0,45.0,30.6,2016.0,1.62
Australia,144,108.0,61.0,84.0,60.0,41.7,2014.0,1.59
Egypt,110,105.0,9.0,97.0,13.0,11.8,2008.0,1.21
Turkey,108,106.0,8.0,80.0,28.0,25.9,2015.0,1.19
Hong Kong,102,77.0,50.0,97.0,5.0,4.9,2004.0,1.13
Italy,90,59.0,50.0,67.0,23.0,25.6,2014.0,0.99
Brazil,88,79.0,16.0,59.0,29.0,33.0,2018.0,0.97
Taiwan,85,82.0,7.0,15.0,70.0,82.4,2014.0,0.94
Belgium,85,14.0,77.0,74.0,11.0,12.9,2016.0,0.94
Argentina,82,68.0,32.0,64.0,18.0,22.0,2016.0,0.9
Indonesia,80,76.0,10.0,77.0,3.0,3.8,2016.0,0.88
Philippines,78,75.0,7.0,77.0,1.0,1.3,2016.0,0.86
Nigeria,76,71.0,6.0,68.0,8.0,10.5,2017.0,0.84
Thailand,65,61.0,8.0,43.0,22.0,33.8,2014.0,0.72
South Africa,54,35.0,29.0,44.0,10.0,18.5,2016.0,0.6
Colombia,45,36.0,14.0,17.0,28.0,62.2,2017.0,0.5
Netherlands,45,25.0,29.0,37.0,8.0,17.8,2016.0,0.5
Denmark,44,30.0,31.0,31.0,13.0,29.5,2015.0,0.49
Ireland,40,26.0,29.0,28.0,12.0,30.0,2015.0,0.44
Singapore,39,28.0,16.0,18.0,21.0,53.8,2015.0,0.43
Sweden,39,16.0,29.0,29.0,10.0,25.6,2016.0,0.43
Poland,36,26.0,15.0,28.0,8.0,22.2,2007.0,0.4
United Arab Emirates,34,19.0,22.0,33.0,1.0,2.9,2015.0,0.38
Norway,29,20.0,18.0,20.0,9.0,31.0,2016.0,0.32
New Zealand,28,15.0,17.0,20.0,8.0,28.6,2014.0,0.31
Russia,27,20.0,11.0,10.0,17.0,63.0,2016.0,0.3
Chile,26,21.0,12.0,21.0,5.0,19.2,2016.0,0.29
Lebanon,26,20.0,12.0,19.0,7.0,26.9,2008.0,0.29
Malaysia,26,23.0,4.0,18.0,8.0,30.8,2013.0,0.29
Israel,26,19.0,14.0,18.0,8.0,30.8,2016.0,0.29
Pakistan,24,22.0,6.0,20.0,4.0,16.7,2016.0,0.26
Czech Republic,20,5.0,20.0,14.0,6.0,30.0,2013.0,0.22
Switzerland,17,7.0,15.0,16.0,1.0,5.9,2015.0,0.19
Uruguay,14,9.0,11.0,13.0,1.0,7.1,2017.0,0.15
Romania,12,10.0,6.0,12.0,0.0,0.0,2015.0,0.13
Austria,11,8.0,7.0,10.0,1.0,9.1,2018.0,0.12
Luxembourg,11,0.0,11.0,10.0,1.0,9.1,2016.0,0.12
Finland,11,6.0,10.0,7.0,4.0,36.4,2017.0,0.12
Greece,10,1.0,10.0,8.0,2.0,20.0,2014.0,0.11
Saudi Arabia,10,10.0,3.0,6.0,4.0,40.0,2015.0,0.11
Peru,10,6.0,6.0,10.0,0.0,0.0,2017.0,0.11
Hungary,9,4.0,5.0,8.0,1.0,11.1,2017.0,0.1
Iceland,9,5.0,5.0,7.0,2.0,22.2,2018.0,0.1
Bulgaria,9,5.0,8.0,9.0,0.0,0.0,2017.0,0.1
Jordan,8,1.0,7.0,7.0,1.0,12.5,2016.0,0.09
Kuwait,7,6.0,1.0,4.0,3.0,42.9,2013.0,0.08
Qatar,7,0.0,7.0,7.0,0.0,0.0,2016.0,0.08
Serbia,7,3.0,7.0,7.0,0.0,0.0,2017.0,0.08
Morocco,6,0.0,6.0,6.0,0.0,0.0,2015.0,0.07
Kenya,5,3.0,3.0,5.0,0.0,0.0,2017.0,0.06
Vietnam,5,5.0,0.0,5.0,0.0,0.0,2017.0,0.06
Cambodia,5,2.0,4.0,5.0,0.0,0.0,2017.0,0.06
West Germany,5,1.0,4.0,3.0,2.0,40.0,1978.0,0.06
Iran,4,1.0,4.0,4.0,0.0,0.0,2016.0,0.04
Ghana,4,4.0,1.0,4.0,0.0,0.0,2018.0,0.04
Croatia,4,2.0,3.0,3.0,1.0,25.0,2015.0,0.04
Portugal,4,2.0,4.0,4.0,0.0,0.0,2016.0,0.04
Zimbabwe,3,1.0,2.0,3.0,0.0,0.0,2016.0,0.03
Soviet Union,3,1.0,3.0,3.0,0.0,0.0,1985.0,0.03
Venezuela,3,2.0,2.0,3.0,0.0,0.0,2013.0,0.03
Senegal,3,1.0,2.0,2.0,1.0,33.3,2018.0,0.03
Slovenia,3,1.0,3.0,3.0,0.0,0.0,2016.0,0.03
Malta,3,0.0,3.0,2.0,1.0,33.3,2013.0,0.03
Ukraine,3,2.0,1.0,1.0,2.0,66.7,2016.0,0.03
Bangladesh,3,2.0,1.0,3.0,0.0,0.0,2016.0,0.03
Iraq,2,0.0,2.0,2.0,0.0,0.0,2017.0,0.02
Namibia,2,1.0,1.0,2.0,0.0,0.0,2018.0,0.02
Cayman Islands,2,0.0,2.0,2.0,0.0,0.0,2020.0,0.02
Algeria,2,0.0,2.0,2.0,0.0,0.0,2000.0,0.02
Nepal,2,0.0,2.0,2.0,0.0,0.0,2018.0,0.02
Guatemala,2,1.0,1.0,2.0,0.0,0.0,2018.0,0.02
Georgia,2,2.0,1.0,2.0,0.0,0.0,2018.0,0.02
Sudan,1,0.0,1.0,1.0,0.0,0.0,2017.0,0.01
Bahamas,1,0.0,1.0,1.0,0.0,0.0,2006.0,0.01
Botswana,1,0.0,1.0,1.0,0.0,0.0,2016.0,0.01
Kazakhstan,1,0.0,1.0,1.0,0.0,0.0,2016.0,0.01
Albania,1,0.0,1.0,1.0,0.0,0.0,2018.0,0.01
Montenegro,1,0.0,1.0,1.0,0.0,0.0,2015.0,0.01
Mauritius,1,1.0,1.0,0.0,1.0,100.0,2019.0,0.01
Cyprus,1,1.0,0.0,0.0,1.0,100.0,2017.0,0.01
Mongolia,1,0.0,1.0,1.0,0.0,0.0,2017.0,0.01
Puerto Rico,1,1.0,1.0,0.0,1.0,100.0,2018.0,0.01
Angola,1,0.0,1.0,1.0,0.0,0.0,2020.0,0.01
Lithuania,1,0.0,1.0,1.0,0.0,0.0,2015.0,0.01
Armenia,1,0.0,1.0,1.0,0.0,0.0,2017.0,0.01
Malawi,1,0.0,1.0,1.0,0.0,0.0,2019.0,0.01
Dominican Republic,1,0.0,1.0,1.0,0.0,0.0,2017.0,0.01
Bermuda,1,0.0,1.0,1.0,0.0,0.0,2014.0,0.01
