genre,titles,movies,tv_shows,pct_of_genre_tags,avg_movie_minutes,avg_seasons,avg_release_year,countries_producing
International,3636,2437.0,1199.0,21.3,110.8,1.4,2014.0,76
Dramas,2810,2106.0,704.0,16.46,113.4,1.84,2013.0,69
Comedies,1996,1471.0,525.0,11.69,104.6,2.19,2013.0,56
Documentary,1139,786.0,353.0,6.67,81.4,1.35,2015.0,44
Kids,946,532.0,414.0,5.54,79.7,1.95,2014.0,35
Action & Adventure,871,721.0,150.0,5.1,113.3,2.47,2011.0,48
Romance,864,531.0,333.0,5.06,110.7,1.41,2014.0,45
Independent,673,673.0,0.0,3.94,100.8,,2014.0,46
Thrillers,541,491.0,50.0,3.17,106.9,2.16,2015.0,39
Crime,427,0.0,427.0,2.5,,1.74,2017.0,39
Horror,381,312.0,69.0,2.23,97.5,2.12,2014.0,36
Stand-Up Comedy,381,329.0,52.0,2.23,67.1,1.87,2016.0,19
Music,321,321.0,0.0,1.88,108.7,,2013.0,31
Sci-Fi & Fantasy,294,218.0,76.0,1.72,105.8,2.71,2013.0,32
British TV Shows,232,0.0,232.0,1.36,,1.84,2016.0,7
Reality TV,222,0.0,222.0,1.3,,1.56,2018.0,16
Sports Movies,196,196.0,0.0,1.15,95.4,,2014.0,28
Classic & Cult,189,162.0,27.0,1.11,111.6,5.89,1983.0,17
Korean TV Shows,150,0.0,150.0,0.88,,1.23,2016.0,5
Anime Series,148,0.0,148.0,0.87,,1.61,2014.0,3
Spanish-Language TV Shows,147,0.0,147.0,0.86,,1.54,2017.0,8
Mysteries,90,0.0,90.0,0.53,,2.18,2018.0,22
LGBTQ Movies,90,90.0,0.0,0.53,94.0,,2016.0,17
Science & Nature TV,85,0.0,85.0,0.5,,1.28,2017.0,8
Teen TV Shows,60,0.0,60.0,0.35,,2.23,2016.0,12
Faith & Spirituality,57,57.0,0.0,0.33,105.2,,2015.0,12
Anime Features,57,57.0,0.0,0.33,91.2,,2013.0,3
Movies,56,56.0,0.0,0.33,45.9,,2014.0,8
TV Shows,12,0.0,12.0,0.07,,1.0,1999.0,4
