person_name,role,credits,movies,tv_shows,top_billed_credits,countries,first_year,last_year
Anupam Kher,actor,42,41.0,1.0,14.0,3,1990,2019
Shah Rukh Khan,actor,35,35.0,0.0,33.0,2,1992,2019
Om Puri,actor,30,30.0,0.0,9.0,3,1982,2017
Naseeruddin Shah,actor,30,30.0,0.0,20.0,1,1982,2018
Takahiro Sakurai,actor,29,7.0,22.0,12.0,1,2008,2020
Akshay Kumar,actor,29,29.0,0.0,27.0,2,2004,2019
Paresh Rawal,actor,27,27.0,0.0,13.0,2,1990,2019
Amitabh Bachchan,actor,27,27.0,0.0,23.0,1,1975,2019
Yuki Kaji,actor,27,10.0,17.0,8.0,1,2010,2020
Boman Irani,actor,27,27.0,0.0,12.0,2,2003,2019
Kareena Kapoor,actor,25,25.0,0.0,21.0,1,2001,2016
Vincent Tong,actor,24,11.0,13.0,14.0,4,2011,2020
John Cleese,actor,24,19.0,5.0,12.0,5,1972,2021
Andrea Libman,actor,24,16.0,8.0,11.0,4,2014,2020
Tara Strong,actor,22,14.0,8.0,14.0,6,1998,2021
Ashleigh Ball,actor,22,10.0,12.0,15.0,5,2012,2020
Nawazuddin Siddiqui,actor,21,20.0,1.0,12.0,2,2007,2020
Ajay Devgn,actor,21,21.0,0.0,20.0,2,2002,2017
Jan Suter,director,21,21.0,0.0,0.0,4,2016,2018
Kay Kay Menon,actor,20,20.0,0.0,12.0,1,2003,2019
Samuel L. Jackson,actor,20,19.0,1.0,15.0,2,1992,2020
Salman Khan,actor,20,20.0,0.0,16.0,1,1989,2019
Daisuke Ono,actor,20,4.0,16.0,8.0,1,2010,2019
Nicolas Cage,actor,20,19.0,1.0,17.0,4,2004,2021
Raúl Campos,director,19,19.0,0.0,0.0,4,2016,2018
Gulshan Grover,actor,19,19.0,0.0,3.0,1,1983,2017
Adam Sandler,actor,19,19.0,0.0,19.0,1,1998,2020
Fred Tatasciore,actor,19,14.0,5.0,7.0,2,2008,2020
Yashpal Sharma,actor,18,18.0,0.0,1.0,1,2001,2017
James Franco,actor,18,18.0,0.0,14.0,3,2005,2019
David Attenborough,actor,18,5.0,13.0,18.0,2,2001,2020
Kana Hanazawa,actor,18,5.0,13.0,13.0,1,2010,2020
Debi Derryberry,actor,18,13.0,5.0,9.0,3,2001,2020
Junichi Suwabe,actor,18,3.0,15.0,3.0,1,2008,2020
Erin Fitzgerald,actor,18,13.0,5.0,6.0,3,2010,2019
Ai Kayano,actor,18,2.0,16.0,8.0,1,2011,2020
Anil Kapoor,actor,18,18.0,0.0,13.0,2,1995,2020
Priyanka Chopra,actor,17,16.0,1.0,15.0,2,2004,2020
