year_added,titles,avg_lag_years,median_lag_years,same_year_or_earlier,pct_same_year,back_catalogue_over_10y,pct_back_catalogue
2008,2,1.5,1.5,0.0,0.0,0.0,0.0
2009,2,1.0,1.0,1.0,50.0,0.0,0.0
2010,1,23.0,23.0,0.0,0.0,1.0,100.0
2011,13,19.92,22.0,0.0,0.0,12.0,92.3
2012,3,1.0,1.0,1.0,33.3,0.0,0.0
2013,11,0.55,0.0,8.0,72.7,0.0,0.0
2014,25,3.56,0.0,16.0,64.0,4.0,16.0
2015,88,1.27,0.0,57.0,64.8,2.0,2.3
2016,443,3.0,1.0,195.0,44.0,34.0,7.7
2017,1225,4.02,1.0,389.0,31.8,95.0,7.8
2018,1685,4.12,1.0,575.0,34.1,181.0,10.7
2019,2153,5.25,1.0,713.0,33.1,343.0,15.9
2020,2009,4.64,1.0,852.0,42.4,290.0,14.4
2021,117,9.58,7.0,30.0,25.6,44.0,37.6
