year_added,audience_band,titles,pct_of_year,avg_movie_minutes
2008,Adults,2,100.0,81.0
2009,Adults,2,100.0,67.0
2010,Unrated,1,100.0,84.0
2011,Older kids,5,38.5,90.0
2011,Teens,5,38.5,94.0
2011,Adults,3,23.1,98.0
2012,Older kids,2,66.7,51.0
2012,Adults,1,33.3,84.0
2013,Unrated,4,36.4,64.0
2013,Adults,3,27.3,80.0
2013,Teens,2,18.2,
2013,Older kids,1,9.1,100.0
2013,Kids,1,9.1,130.0
2014,Adults,12,48.0,77.0
2014,Older kids,7,28.0,80.0
2014,Kids,4,16.0,76.0
2014,Teens,2,8.0,68.0
2015,Adults,32,36.4,84.0
2015,Teens,17,19.3,84.0
2015,Older kids,17,19.3,83.0
2015,Kids,17,19.3,68.0
2015,Unrated,5,5.7,100.0
2016,Adults,178,40.5,90.0
2016,Teens,109,24.8,87.0
2016,Older kids,103,23.4,62.0
2016,Unrated,28,6.4,94.0
2016,Kids,22,5.0,66.0
2017,Adults,522,42.7,95.0
2017,Teens,365,29.9,108.0
2017,Older kids,244,20.0,87.0
2017,Kids,64,5.2,73.0
2017,Unrated,27,2.2,98.0
2018,Adults,792,47.0,97.0
2018,Teens,513,30.5,114.0
2018,Older kids,275,16.3,102.0
2018,Kids,90,5.3,63.0
2018,Unrated,14,0.8,100.0
2019,Adults,1020,47.4,101.0
2019,Teens,665,30.9,109.0
2019,Older kids,352,16.3,91.0
2019,Kids,107,5.0,59.0
2019,Unrated,9,0.4,103.0
2020,Adults,911,45.3,102.0
2020,Teens,596,29.7,112.0
2020,Older kids,307,15.3,95.0
2020,Kids,195,9.7,69.0
2021,Adults,51,43.6,108.0
2021,Teens,40,34.2,104.0
2021,Older kids,14,12.0,117.0
2021,Kids,12,10.3,90.0
